2-Theta,SP_K_room,SP_Mg,SP_K_300,SP_K_550,SP_Mg_gly,WIN_K_room,WIN_Mg,WIN_K_300,WIN_K_550,WIN_Mg_gly
23.05,66,66,101,106,78.667,73.333,75.333,114,113,71.333
23.1,65.333,83,98.333,93.667,84,64,76,108.67,112.33,79.667
23.15,70,71,105.67,107.33,75.667,65.333,73.333,99.333,108.33,76.667
23.2,76.333,72,105.67,96,85.333,66,78.667,97.333,98.667,73.333
23.25,76,73.667,105,110,79.333,66.333,78,114,107,74
23.3,69.667,73.667,110.67,101.67,81,74.333,76,90.667,106,79
23.35,69.333,68.333,97,101.33,76,73.667,73.333,93,103,84.333
23.4,80.667,81.333,97.667,91,81.667,71.667,77,95,96.333,86.333
23.45,75.667,78,100.67,96,76.667,77.333,70.667,106.33,102.33,79
23.5,80,76.333,95,108.67,83,72.333,84.667,101,104,79
23.55,66.667,73.333,95.667,102,82.333,71.333,82.667,95.333,103,82.333
23.6,68.333,82.667,101.33,106.67,69.667,77.333,78.667,101,94,78
23.65,79.667,76,92.333,104,89.333,68.333,80.333,97,102,80.333
23.7,75.667,80.333,90.333,99.333,83,75.667,78.333,87.667,93.667,81.667
23.75,72,88,107,100,88.667,76.333,77.667,94.667,102.33,86.333
23.8,77.667,87,92.333,107.67,86.667,78.667,77,91.333,98.333,83.667
23.85,65.333,97.333,101.67,98.667,82.333,73,69.667,99,98.333,79.333
23.9,71.667,85.667,110,95,89.667,79.333,71.333,90.667,109,83.333
23.95,76,85,103.33,95.333,95,74.333,72.667,92.333,105.67,84.333
24,70,91.667,100.33,98.333,97.333,76,88.333,95.333,102.33,99.667
24.05,83.667,84.667,90.667,96.667,97.667,69.667,82.333,98.667,93.333,88
24.1,84.333,90.667,87,105.33,92.667,74.667,82,87.333,89.333,82.667
