SampleID,Date,Study_day,ADH,ADD,ARF_sector,Sorting1,Sorting,Treatment,Gravimetric,pH,EC,  Na (ug/gdw soil) ,  K (ug/gdw soil) ,  mg (ug/gdw soil) ,  Ca (ug/gdw soil) ,  Al (ug/gdw soil) ,  Cu (ug/gdw soil) ,  Fe (ug/gdw soil) ,  Mn (ug/gdw soil) ,  Zn (ug/gdw soil) ,  Co (ug/gdw soil) ,  S180 (ug/gdw soil) ,  P (ug/gdw soil) ,  B (ug/gdw soil) ,  Se (ug/gdw soil) ,  S182 (ug/gdw soil) ,  Na (umolcharge/gdw soil) ,  K (umolcharge/gdw soil) ,  Mg (umolcharge/gdw soil) ,  Ca (umolcharge/gdw soil) 
D3_J_gr_12May2021,44328,33,12394,516.4,1_J,l_5.12,k_5.12,D3_grave,0.690825871,5.84,345.25,316.4255468,190.6789516,37.71116389,445.3967215,5.890645867,0.084267267,3.620134722,25.72862483,0.190116909,0.023501125,33.54817616,41.6686971,1.868722562,0.078356341,28.35048195,13.76375435,4.876911569,3.103160986,22.22649441
D3_H_con_12May2021,44328,33,12394,516.4,2_H,a_con,k_5.12,D3_con,0.387040967,7.575,55.705,2.125290995,12.58468329,5.633489558,101.4545851,12.36893774,0.033409037,2.881998086,0.443695771,0.063331953,0.002764844,3.488932492,0.478110982,0.243381008,0.015342527,2.470691704,0.092445074,0.321872902,0.463566308,5.062856683
D3_H_gr_12May2021,44328,33,12394,516.4,2_H,l_5.12,k_5.12,D3_grave,0.281921217,6.57,398.3,176.6037724,105.4366211,21.88077491,248.7990522,1.539235841,0.079686669,1.598840819,10.81865976,0.050460843,0.049006709,44.31325456,15.38624468,0.437131146,0.035214191,40.57940881,7.681841638,2.696706024,1.800516347,12.41574191
D3_F_con_12May2021,44328,33,12394,516.4,3_F,a_con,k_5.12,D3_con,0.395788172,7.715,138.9,1.491632052,19.27352722,7.062303925,201.0351252,4.906572754,0.065225807,0.958180843,0.442683882,0.018267106,0.002075738,6.381243962,0.794129726,0.256979933,0.005990997,4.368882722,0.064882426,0.492950517,0.581140006,10.03219348
D3_F_gr_12May2021,44328,33,12394,516.4,3_F,l_5.12,k_5.12,D3_grave,0.335677556,5.735,324,73.79522559,66.78522192,33.46671881,301.2567448,0.568160625,0.040903864,0.364978693,47.42755039,0.140096179,0.061423115,21.94538503,2.451278005,0.450214711,0.043316882,18.32007193,3.209915784,1.708136209,2.753895808,15.03352187
J_1_con_14May2021,44330,35,12994,541.4,1_J,a_con,l_5.14,D3_con,0.572224338,6.985,73.75,2.976043899,60.25876445,11.4914007,139.742367,12.03524592,0.054021685,3.293665061,0.577560033,0.060027547,0.002678151,13.17025027,1.606167311,0.517319298,0.010381156,11.16851985,0.12945079,1.54121188,0.945599729,6.973519985
J_1_gr_14May2021,44330,35,12994,541.4,1_J,m_5.14,l_5.14,D3_grave,0.588739555,6.5,238.55,154.6368961,94.22425779,18.65124726,267.4085879,7.520275271,0.06755942,3.172833116,1.623410279,0.284619234,0.003116348,23.66103023,3.997668027,1.065554428,0.052356648,20.02935788,6.726335065,2.409932345,1.534766284,13.3444078
H_2_con_14May2021,44330,35,12994,541.4,2_H,a_con,l_5.14,D3_con,0.326142575,7.4,57.335,2.421926011,13.4057849,5.298435336,94.25276694,12.37958673,0.03849601,2.77805961,0.434989734,0.036320844,0.002085461,4.467026992,0.38877919,0.20174676,0.009818134,3.439485367,0.105347988,0.342873856,0.435995502,4.703466587
H_2_gr_14May2021,44330,35,12994,541.4,2_H,m_5.14,l_5.14,D3_grave,0.278721728,6.6,297.9,146.7813832,75.66101345,10.36143422,128.5384864,5.721568144,0.099174707,4.069507064,2.76080097,0.04623052,0.028041543,30.97156319,3.731447341,0.38998841,0.015205763,28.25501098,6.384639047,1.935148419,0.852617504,6.414416209
F_3_con_14May2021,44330,35,12994,541.4,3_F,a_con,l_5.14,D3_con,0.397738432,7.335,128.25,1.831138902,14.50153272,6.190652247,203.5400017,8.884823086,0.088461647,1.701720513,0.968411525,0.039350183,0.007456311,8.345785991,0.752483472,0.445851107,0.015421525,6.168676792,0.079650162,0.370899316,0.509413886,10.15719356
